id,station_name,line_number,congestion_level,passenger_count,timestamp,date,hour,minute,day_of_week,day_name,is_weekend,time_period,is_rush_hour,congestion_status,congestion_grade,rolling_mean,rolling_std,prev_congestion,congestion_change,z_score,is_anomaly
310,가산디지털단지역,1,47.15,133,2025-10-24 17:29:55.197672,2025-10-24,17,29,4,Friday,False,평시,False,MEDIUM,2,47.15,,,,0.069,False
7297,가산디지털단지역,1,85.92,223,2025-10-24 22:18:55.197672,2025-10-24,22,18,4,Friday,False,평시,False,VERY_HIGH,4,66.54,27.41,47.15,38.77,1.64,False
5463,가산디지털단지역,1,31.91,88,2025-10-24 23:14:55.197672,2025-10-24,23,14,4,Friday,False,평시,False,MEDIUM,2,54.99,27.85,85.92,-54.01,-0.549,False
1123,가산디지털단지역,1,45.26,124,2025-10-25 01:09:55.197672,2025-10-25,1,9,5,Saturday,True,심야,False,MEDIUM,2,52.56,23.25,31.91,13.35,-0.008,False
6058,가산디지털단지역,1,42.59,133,2025-10-25 02:25:55.197672,2025-10-25,2,25,5,Saturday,True,심야,False,MEDIUM,2,50.57,20.62,45.26,-2.67,-0.116,False
2752,가산디지털단지역,1,30.32,94,2025-10-25 05:42:55.197672,2025-10-25,5,42,5,Saturday,True,심야,False,MEDIUM,2,47.2,22.6,42.59,-12.27,-0.613,False
3412,가산디지털단지역,1,39.48,106,2025-10-25 05:52:55.197672,2025-10-25,5,52,5,Saturday,True,심야,False,MEDIUM,2,37.91,6.56,30.32,9.16,-0.242,False
3541,가산디지털단지역,1,89.53,272,2025-10-25 07:07:55.197672,2025-10-25,7,7,5,Saturday,True,출근,True,VERY_HIGH,4,49.44,23.11,39.48,50.05,1.786,False
6409,가산디지털단지역,1,87.83,256,2025-10-25 08:02:55.197672,2025-10-25,8,2,5,Saturday,True,출근,True,VERY_HIGH,4,57.95,28.42,89.53,-1.7,1.717,False
878,가산디지털단지역,1,17.41,49,2025-10-25 12:18:55.197672,2025-10-25,12,18,5,Saturday,True,점심,False,LOW,1,52.91,33.58,87.83,-70.42,-1.136,False
1155,가산디지털단지역,1,17.87,48,2025-10-25 12:18:55.197672,2025-10-25,12,18,5,Saturday,True,점심,False,LOW,1,50.42,36.05,17.41,0.46,-1.118,False
8855,가산디지털단지역,1,6.95,23,2025-10-25 13:58:55.197672,2025-10-25,13,58,5,Saturday,True,점심,False,LOW,1,43.92,41.1,17.87,-10.92,-1.56,False
2472,가산디지털단지역,1,5.29,16,2025-10-25 14:58:55.197672,2025-10-25,14,58,5,Saturday,True,평시,False,LOW,1,27.07,34.46,6.95,-1.66,-1.627,False
7556,가산디지털단지역,1,17.88,62,2025-10-25 16:50:55.197672,2025-10-25,16,50,5,Saturday,True,평시,False,LOW,1,13.08,6.38,5.29,12.59,-1.117,False
3958,가산디지털단지역,1,46.43,138,2025-10-25 17:38:55.197672,2025-10-25,17,38,5,Saturday,True,평시,False,MEDIUM,2,18.88,16.49,17.88,28.55,0.04,False
8504,가산디지털단지역,1,35.56,105,2025-10-25 19:26:55.197672,2025-10-25,19,26,5,Saturday,True,퇴근,True,MEDIUM,2,22.42,18.05,46.43,-10.87,-0.401,False
7027,가산디지털단지역,1,50.98,162,2025-10-25 19:40:55.197672,2025-10-25,19,40,5,Saturday,True,퇴근,True,HIGH,3,31.23,19.31,35.56,15.42,0.224,False
4209,가산디지털단지역,1,82.38,209,2025-10-25 20:25:55.197672,2025-10-25,20,25,5,Saturday,True,퇴근,True,VERY_HIGH,4,46.65,23.7,50.98,31.4,1.496,False
271,가산디지털단지역,1,60.54,153,2025-10-25 21:19:55.197672,2025-10-25,21,19,5,Saturday,True,평시,False,HIGH,3,55.18,17.66,82.38,-21.84,0.611,False
9474,가산디지털단지역,1,40.05,125,2025-10-25 23:42:55.197672,2025-10-25,23,42,5,Saturday,True,평시,False,MEDIUM,2,53.9,18.65,60.54,-20.49,-0.219,False
5104,가산디지털단지역,1,52.58,167,2025-10-26 00:17:55.197672,2025-10-26,0,17,6,Sunday,True,심야,False,HIGH,3,57.31,15.81,40.05,12.53,0.289,False
7764,가산디지털단지역,1,45.11,143,2025-10-26 01:19:55.197672,2025-10-26,1,19,6,Sunday,True,심야,False,MEDIUM,2,56.13,16.59,52.58,-7.47,-0.014,False
4742,가산디지털단지역,1,41.01,107,2025-10-26 01:43:55.197672,2025-10-26,1,43,6,Sunday,True,심야,False,MEDIUM,2,47.86,8.64,45.11,-4.1,-0.18,False
3056,가산디지털단지역,1,34.0,102,2025-10-26 02:04:55.197672,2025-10-26,2,4,6,Sunday,True,심야,False,MEDIUM,2,42.55,6.87,41.01,-7.01,-0.464,False
5647,가산디지털단지역,1,33.91,102,2025-10-26 02:06:55.197672,2025-10-26,2,6,6,Sunday,True,심야,False,MEDIUM,2,41.32,7.9,34.0,-0.09,-0.468,False
8677,가산디지털단지역,1,61.43,166,2025-10-26 03:48:55.197672,2025-10-26,3,48,6,Sunday,True,심야,False,HIGH,3,43.09,11.31,33.91,27.52,0.647,False
6089,가산디지털단지역,1,50.0,166,2025-10-26 04:18:55.197672,2025-10-26,4,18,6,Sunday,True,심야,False,HIGH,3,44.07,11.73,61.43,-11.43,0.184,False
3597,가산디지털단지역,1,45.32,118,2025-10-26 04:53:55.197672,2025-10-26,4,53,6,Sunday,True,심야,False,MEDIUM,2,44.93,11.61,50.0,-4.68,-0.005,False
5098,가산디지털단지역,1,38.21,111,2025-10-26 05:52:55.197672,2025-10-26,5,52,6,Sunday,True,심야,False,MEDIUM,2,45.77,10.74,45.32,-7.11,-0.293,False
7457,가산디지털단지역,1,94.57,270,2025-10-26 07:41:55.197672,2025-10-26,7,41,6,Sunday,True,출근,True,VERY_HIGH,4,57.91,22.17,38.21,56.36,1.99,False
9643,가산디지털단지역,1,5.56,16,2025-10-26 11:03:55.197672,2025-10-26,11,3,6,Sunday,True,평시,False,LOW,1,46.73,31.89,94.57,-89.01,-1.616,False
9727,가산디지털단지역,1,6.88,17,2025-10-26 11:37:55.197672,2025-10-26,11,37,6,Sunday,True,평시,False,LOW,1,38.11,36.31,5.56,1.32,-1.563,False
953,가산디지털단지역,1,10.3,31,2025-10-26 13:39:55.197672,2025-10-26,13,39,6,Sunday,True,점심,False,LOW,1,31.1,37.92,6.88,3.42,-1.424,False
1052,가산디지털단지역,1,17.32,44,2025-10-26 16:57:55.197672,2025-10-26,16,57,6,Sunday,True,평시,False,LOW,1,26.93,38.09,10.3,7.02,-1.14,False
3984,가산디지털단지역,1,69.67,226,2025-10-26 21:23:55.197672,2025-10-26,21,23,6,Sunday,True,평시,False,HIGH,3,21.95,27.07,17.32,52.35,0.981,False
